City2,mahoz
צור יצחק,מרכז
תרבין א-צאנע (יישוב)*,נגב
קצר א-סר,נגב
'ביר הדאג,נגב
ביר הדאג',נגב
דריג'את,נגב
אום בטין,נגב
אל סייד,נגב
מולדה*,נגב
בת חן,מרכז
בני נצרים,נגב
אליאב,נגב
נווה,נגב
כחלה,נגב
מצפה אילן,מרכז
מחנה הילה,השפלה וההר
מחנה תל נוף,השפלה וההר
מחנה יהודית,עמקים
מחנה מרים,השפלה וההר
מחנה יפה,נגב
מחנה יוכבד,נגב
מחנה עדי,נגב
מחנה טלי,נגב
ניצן ב',נגב
מפעלי נחם הרטוב,השפלה וההר
נווה אילן,השפלה וההר
"מרכז כ""ח",גולן גליל
מפעלי גליל עליון,גולן גליל
תל חי (מכללה),גולן גליל
תל חי,גולן גליל
מרכז אזורי מרום הגליל,גולן גליל
מרכז אזורי מרום גליל,גולן גליל
א.תעשיה דלתון ,גולן גליל
מפעלי צמח,עמקים
בית חולים פוריה,עמקים
מרכז אזורי כדורי,עמקים
תעשיות גליל תחתון,עמקים
"מרכז מיר""ב*",מרכז
אילון תבור*,עמקים
מפעלי העמק (יזרעאל),עמקים
מפעלי שאן,עמקים
מגדל תפן,גולן גליל
מרכז אזורי משגב,גולן גליל
אזור תעסוקה משגב(תרדיון),גולן גליל
אזור תעשייה תרדיון,גולן גליל
"בי""ס אזורי מקיף (אשר)",גולן גליל
אזור תעשייה אכזיב (מילואות),גולן גליל
אזור תעשייה אכזיב מילואות,גולן גליל
אזור תעשייה נעמן (מילואות),גולן גליל
בר-לב,גולן גליל
מפעלי חבל מודיעים,השפלה וההר
בתי זיקוק - קישון,עמקים
מפעלי גרנות,מרכז
גבעת חביבה,מרכז
תעשיון השרון,השפלה וההר
תעשיון חצב,מרכז
תעשיון בנימין*,מרכז
מפעלי חפר,מרכז
קרית תעופה,השפלה וההר
מרכז אזורי שוהם,השפלה וההר
נמל תעופה בן-גוריון,השפלה וההר
תעשיון צריפין,השפלה וההר
תעשיון חבל יבנה,השפלה וההר
המרכז למחקר-נחל שורק,השפלה וההר
מפעלי כנות,השפלה וההר
תעשיון מבצע*,השפלה וההר
תעשיון ראם*,נגב
מפעלי צומת מלאכי,השפלה וההר
עד הלום,השפלה וההר
אזור תעשייה עד הלום,השפלה וההר
פארק תעשיות ספירים,נגב
קרית חינוך עזתה,נגב
"מפעלי אבשלו""ם",נגב
עשאהל,יהודה ושומרון
קריית חינוך מרחבים,נגב
מפעלי מעון,נגב
נאות חובב,נגב
מרכז אזורי דרום השרון,מרכז
אורון,נגב
עין בוקק,נגב
ים המלח - בתי מלון,נגב
מלונות ים המלח מרכז,נגב
מפעלי מישור רותם,נגב
מפעלי ים המלח(סדום),נגב
מפעלי צין - ערבה,נגב
מפעלי ברקן,נגב
"תעשיון שח""ק",נגב
שלומציון,נגב
תעשיון מיתרים,נגב
"מ""א מטה יהודה הרי יהודה ",השפלה וההר
"מ""א מטה יהודה שפלת יהודה ",השפלה וההר
"מ""א הגליל התחתון אזור כינרות",עמקים
"מ""א הגליל העליון עמק חולה",גולן גליל
"מ""א מבואות החרמון עמק חולה ",גולן גליל
מרכז אזורי מבואות חרמון,גולן גליל
"מ""א הגליל העליון גליל עליון מז",גולן גליל
"מ""א מבואות החרמון גליל עליון מז ",גולן גליל
כרמי גת,נגב
"מ""א מרום הגליל גליל עליון מז",גולן גליל
אל עמארני,נגב
"גליל עליון מז של""ש",גולן גליל
"מ""א הגליל העליון אזור חצור",גולן גליל
אזור תעשייה חצור הגלילית,גולן גליל
"מ""א מבואות החרמון אזור חצור ",גולן גליל
"אזור חצור של""ש",גולן גליל
"מ""א הגליל העליון אזור כנרות",גולן גליל
"מ""א עמק הירדן אזור כנרות",עמקים
"מ""א הגליל התחתון גליל תחתון מז",עמקים
צורית גילון,עמקים
"מ""א מרום הגליל גליל תחתון מז",גולן גליל
בית חגי,נגב
"מ""א עמק הירדן גליל תחתון מז",עמקים
"גליל תחתון מז של""ש",עמקים
הרי נצרת-תירען,עמקים
"מ""א עמק המעיינות עמק בית שאן",עמקים
"מ""א הגלבוע עמק חרוד",עמקים
"מ""א עמק המעיינות רמת כוכב",עמקים
"מ""א הגלבוע רמת כוכב",עמקים
"מ""א עמק יזרעאל רמת כוכב",עמקים
"מ""א הגלבוע עמק יזרעאל",עמקים
"מ""א עמק יזרעאל עמק יזרעאל",עמקים
"מ""א מגידו עמק יזרעאל ",עמקים
"מ""א עמק יזרעאל אזור יקנעם",עמקים
"מ""א מגידו אזור יקנעם ",עמקים
"מ""א מגידו רמת מנשה ",עמקים
"מ""א עמק יזרעאל הרי נצרת-תירען",עמקים
"מ""א עמק יזרעאל אזור שפרעם",עמקים
"מ""א משגב אזור שפרעם ",גולן גליל
"אזור שפרעם של""ש",גולן גליל
"מ""א מרום הגליל אזור כרמיאל",גולן גליל
"מ""א משגב אזור כרמיאל ",גולן גליל
"אזור כרמיאל של""ש",גולן גליל
"מ""א מטה אשר אזור יחיעם",גולן גליל
"מ""א מעלה יוסף אזור יחיעם ",גולן גליל
"מ""א מרום הגליל אזור יחיעם",גולן גליל
"מ""א משגב אזור יחיעם ",גולן גליל
"אזור יחיעם של""ש",גולן גליל
"מ""א מעלה יוסף אזור אילון ",גולן גליל
"מ""א מטה אשר אזור אילון",גולן גליל
"אזור אילון של""ש",גולן גליל
"מ""א משגב בקעת נטופה ",גולן גליל
"מ""א מטה אשר אזור נהרייה",גולן גליל
"אזור נהרייה של""ש",גולן גליל
אזור תעשייה שער נעמן,גולן גליל
"מ""א משגב אזור עכו ",גולן גליל
ג'דידה מכר,גולן גליל
"מ""א מטה אשר אזור עכו",גולן גליל
שלומית,נגב
"אזור עכו של""ש",גולן גליל
בית העלמין החדש עכו
"מ""א זבולון אזור חיפה ",עמקים
"מ""א הגלבוע נחל תבור",עמקים
"אזור חיפה של""ש",מרכז
"מ""א עמק יזרעאל יערות גבעת המורה",עמקים
"מ""א חוף הכרמל חוף הכרמל ",מרכז
"מ""א עמק יזרעאל אזור תעשיה אכסאל",עמקים
"מ""א חוף הכרמל אזור זכרון יעקב ",מרכז
"אזור זכרון יעקב של""ש",מרכז
"מ""א אלונה הר אלכסנדר ",מרכז
"מ""א מנשה הר אלכסנדר ",מרכז
אל פורעה,נגב
"הר אלכסנדר של""ש",מרכז
"מ""א אלונה אזור חדרה ",מרכז
"מ""א חוף הכרמל אזור חדרה ",מרכז
"מ""א מנשה אזור חדרה ",מרכז
"אזור חדרה של""ש",מרכז
"מ""א עמק חפר עמק חפר מזרח ",עמקים
"מ""א עמק חפר מערב השרון ",מרכז
"מ""א לב השרון מערב השרון ",מרכז
"מ""א חוף השרון מערב השרון ",מרכז
"מ""א עמק חפר מזרח השרון ",מרכז
"מ""א לב השרון מזרח השרון ",מרכז
"מ""א דרום השרון דרום השרון ",מרכז
"מ""א הגליל התחתון נחל יפתחאל",עמקים
"מ""א הגליל התחתון בקעת תירען",עמקים
"דרום השרון של""ש",מרכז
מעון צופיה,השפלה וההר
"מ""א חבל מודיעין אזור פתח תקווה ",השפלה וההר
"מ""א חבל מודיעין אזור מודיעין ",עמקים
"מ""א דרום השרון אזור פתח תקווה ",מרכז
אזור תעשייה אפק ולב הארץ,מרכז
"אזור פתח תקווה של""ש",השפלה וההר
"מ""א גזר אזור מודיעין ",מרכז
בני דקלים,השפלה וההר
"מ""א גזר אזור רמלה ",השפלה וההר
אזור תעשייה נשר,השפלה וההר
"מ""א עמק לוד אזור רמלה ",השפלה וההר
כפר נוער בן שמן,השפלה וההר
"אזור רמלה של""ש",השפלה וההר
שדה אברהם,נגב
"אזור מודיעין של""ש",מרכז
עבדת,נגב
"מ""א ברנר אזור רחובות ",השפלה וההר
"מ""א גדרות אזור רחובות ",השפלה וההר
מתחם צומת שוקת,נגב
"מ""א גזר אזור רחובות ",השפלה וההר
"מ""א חבל יבנה אזור רחובות ",השפלה וההר
"מ""א נחל שורק אזור רחובות ",השפלה וההר
"אזור רחובות של""ש",השפלה וההר
"מ""א גן רווה אזור ראשל""צ ",השפלה וההר
"אזור ראשל""צ של""ש",השפלה וההר
"אזור רמת גן של""ש",מרכז
"אזור חולון של""ש",מרכז
"מ""א באר טוביה אזור מלאכי ",השפלה וההר
"מ""א יואב אזור מלאכי ",נגב
"מ""א לכיש אזור מלאכי ",נגב
"מ""א שפיר אזור מלאכי ",נגב
"מ""א יואב אזור לכיש ",נגב
"מ""א לכיש אזור לכיש ",נגב
"מ""א שפיר אזור לכיש ",נגב
"מ""א בני שמעון אזור לכיש ",נגב
"מ""א באר טוביה אזור אשדוד ",השפלה וההר
"מ""א חבל יבנה אזור אשדוד ",השפלה וההר
"אזור אשדוד של""ש",השפלה וההר
אזור תעשייה צפוני אשקלון,נגב
"מ""א חוף אשקלון אזור אשקלון ",נגב
אזור תעשייה הדרומי אשקלון,נגב
"מ""א שער הנגב אזור אשקלון ",נגב
"מ""א בני שמעון אזור גרר ",נגב
"מ""א מרחבים אזור גרר ",נגב
"מ""א שדות נגב אזור גרר ",נגב
"מ""א אשכול אזור בשור ",נגב
"מ""א מרחבים אזור בשור ",נגב
"מ""א שדות נגב אזור בשור ",נגב
"מ""א בני שמעון אזור באר שבע ",נגב
"מ""א תמר אזור באר שבע ",נגב
"אזור באר שבע של""ש",נגב
"מ""א תמר אזור ים המלח ",נגב
"מ""א חבל אילות הערבה ",נגב
"מ""א הערבה התיכונה הערבה ",נגב
"מ""א חבל אילות הר הנגב הצפוני ",נגב
"מ""א רמת נגב הר הנגב הצפוני ",נגב
"מ""א תמר הר הנגב הצפוני ",נגב
"מ""א הערבה התיכונה הר הנגב הצפוני ",נגב
"מ""א חבל אילות הר הנגב הדרומי ",נגב
"מ""א הערבה התיכונה הר הנגב הדרומי ",נגב
"מ""א רמת נגב הר הנגב הדרומי ",נגב
"מ""א גולן חרמון ",גולן גליל
"מ""א גולן גולן צפוני ",גולן גליל
"מ""א גולן גולן תיכון ",גולן גליל
"מ""א גולן גולן דרומי ",גולן גליל
תנובות,מרכז
תלמי אלעזר,מרכז
כנות,השפלה וההר
שדה יצחק,מרכז
יובל,גולן גליל
כפר בן נון,השפלה וההר
ינון,השפלה וההר
אורות,השפלה וההר
בן שמן (מושב),השפלה וההר
גבעולים,נגב
שדי חמד,מרכז
רוויה,עמקים
גבעת חיים (איחוד),מרכז
אשל הנשיא,נגב
להב,נגב
אום אל-קוטוף,מרכז
ירדנה,עמקים
מדרך עוז,עמקים
מנוחה,נגב
בית חלקיה,השפלה וההר
חצור הגלילית,גולן גליל
עדנים,מרכז
ברקת,השפלה וההר
אזור תעשייה חבל מודיעין,השפלה וההר
קריית יערים (מוסד),השפלה וההר
עין גדי,נגב
בחן,מרכז
מלילות,נגב
נחלה,נגב
סגולה,נגב
ניר משה,נגב
ניר עקיבא,נגב
שדה צבי,נגב
"תלמי ביל""ו",נגב
רווחה,נגב
אביטל,עמקים
פרזון,עמקים
מיטב,עמקים
מאור,מרכז
שדי תרומות,עמקים
פעמי תש''ז,נגב
"פעמי תש""ז",נגב
ברוש,נגב
תדהר,נגב
תאשור,נגב
דישון,גולן גליל
זרועה,נגב
טירת כרמל,מרכז
דימונה,נגב
אזור תעשייה דימונה,נגב
קריית טבעון,עמקים
אור יהודה,מרכז
נשר,עמקים
גני טל,השפלה וההר
באר יעקב,השפלה וההר
גדרה,השפלה וההר
נטע,נגב
ערד,נגב
אזור תעשייה ברוש,השפלה וההר
אילת,נגב
גבעות עדן,השפלה וההר
בית שמש,השפלה וההר
לטרון,השפלה וההר
קריית אונו,מרכז
אזור תעשייה קריית גת,נגב
קריית גת,נגב
גת,נגב
ראש העין,מרכז
תחנת רכבת ראש העין,מרכז
רמת השרון,מרכז
גלילות,מרכז
סינמה סיטי גלילות,מרכז
יבנה,השפלה וההר
אום אל-פחם,מרכז
טל מנשה,מרכז
טירה,מרכז
טייבה,מרכז
זבארגה (שבט),נגב
קריית שמונה,גולן גליל
תל חי,גולן גליל
ירושלים,השפלה וההר
חוות שדה בר,השפלה וההר
כפר עציון,השפלה וההר
גבעות,השפלה וההר
נתיב הגדוד,עמקים
ביר אלמכסור,עמקים
אלמוג,עמקים
שני ליבנה,נגב
קדומים,יהודה ושומרון
חירן,נגב
תומר,עמקים
דניאל,מרכז
אלקנה,יהודה ושומרון
גניגר,עמקים
מגדל עוז,השפלה וההר
אזור תעשייה כנות,השפלה וההר
תקוע,השפלה וההר
פני קדם,השפלה וההר
כוכב השחר,נגב
רימונים,נגב
יפית,עמקים
סלעית,יהודה ושומרון
ריחן,יהודה ושומרון
מבוא דותן,יהודה ושומרון
אריאל,יהודה ושומרון
מצדה,נגב
שבי שומרון,יהודה ושומרון
כפר תפוח,יהודה ושומרון
חלמיש,יהודה ושומרון
בית אל,יהודה ושומרון
בית חורון,השפלה וההר
מצפה יריחו,נגב
שדמות מחולה,עמקים
אלון מורה,יהודה ושומרון
ארגמן,עמקים
מחולה,עמקים
קליה,עמקים
ראש צורים,השפלה וההר
הר גילה,השפלה וההר
אלון שבות,יהודה ושומרון
משואה,עמקים
אתר ההנצחה גולני,עמקים
גלגל,עמקים
"ייט""ב",עמקים
מעלה אפרים,עמקים
חמרה,עמקים
מצפה שלם,עמקים
קריית ארבע,נגב
קרית ארבע,נגב
בקעות,עמקים
גיתית,עמקים
מכורה,עמקים
פצאל,עמקים
מעלה אדומים,השפלה וההר
עפרה,יהודה ושומרון
אלעזר,יהודה ושומרון
רועי,עמקים
נירן,עמקים
מעלה שומרון,יהודה ושומרון
כפר אדומים,נגב
ורד יריחו,עמקים
קרני שומרון,יהודה ושומרון
שילה,יהודה ושומרון
חיננית,יהודה ושומרון
גבעון החדשה,השפלה וההר
בית הערבה,עמקים
חמדת,עמקים
יקיר,יהודה ושומרון
מתתיהו,השפלה וההר
מעלה חבר,השפלה וההר
שקד,נגב
מיצד,השפלה וההר
אפרת,השפלה וההר
חברון,השפלה וההר
מעלה מכמש,נגב
תל ערד,נגב
בית אריה,נגב
אזור תעשייה מיתרים,נגב
מעלה עמוס,השפלה וההר
אזור תעשייה שחורת,נגב
ברקן,יהודה ושומרון
חוות יאיר,יהודה ושומרון
"ניל""י",השפלה וההר
כרמל,נגב
מעון,נגב
עטרת,נגב
פסגות,השפלה וההר
עמנואל,יהודה ושומרון
מבוא חורון,השפלה וההר
ברכה,יהודה ושומרון
ענב,יהודה ושומרון
"נעמ""ה",עמקים
עלמון,השפלה וההר
חרמש,יהודה ושומרון
תלם,יהודה ושומרון
שערי תקווה,יהודה ושומרון
אשכולות,יהודה ושומרון
פני חבר,יהודה ושומרון
נגוהות,יהודה ושומרון
נווה דניאל,השפלה וההר
כפר אלדד,השפלה וההר
נוקדים,השפלה וההר
מעלה רחבעם,השפלה וההר
עלי זהב,נגב
כדים,מרכז
גבעת זאב,השפלה וההר
טנא,יהודה ושומרון
מצדות יהודה,יהודה ושומרון
קריית נטפים,יהודה ושומרון
דולב,יהודה ושומרון
עתניאל,יהודה ושומרון
יצהר,יהודה ושומרון
הר ברכה,יהודה ושומרון
אלפי מנשה,יהודה ושומרון
מגדלים,יהודה ושומרון
מעלה לבונה,נגב
אספר,השפלה וההר
סוסיה,נגב
סוסיא,נגב
אדורה,יהודה ושומרון
אורנית,יהודה ושומרון
אזור תעשייה עידן הנגב,נגב
איתמר,יהודה ושומרון
גבע בנימין,השפלה וההר
חגי,נגב
עלי,נגב
כרמי צור,השפלה וההר
נחליאל,נגב
פדואל,נגב
הר אדר,השפלה וההר
חשמונאים,השפלה וההר
סנסנה,נגב
עץ אפרים,נגב
כוכב יעקב,השפלה וההר
ביתר עילית,השפלה וההר
קדר,השפלה וההר
רותם,עמקים
שמעה,נגב
משכיות,עמקים
אבנת,עמקים
נעלה,השפלה וההר
טלמון,נגב
נופים,נגב
צופים,נגב
אבני חפץ,יהודה ושומרון
בת עין,השפלה וההר
רבבה,נגב
כפר האורנים,השפלה וההר
מודיעין עילית,השפלה וההר
רחלים,נגב
מבואות יריחו,עמקים
אורון תעשייה ומסחר,עמקים
חיפה,עמקים
בית עלמין תל רגב,עמקים
בוקעאתא,גולן גליל
בוקעתא,גולן גליל
אלי-עד,גולן גליל
אלי עד,גולן גליל
אל -רום,גולן גליל
כפר חרוב,גולן גליל
חספין,גולן גליל
קשת,גולן גליל
יונתן,גולן גליל
מעלה גמלא,גולן גליל
שעל,גולן גליל
חוות גלעד,יהודה ושומרון
אודם,גולן גליל
אל רום,גולן גליל
אבני איתן,גולן גליל
אניעם,גולן גליל
אבו תלול,נגב
אורטל,גולן גליל
נטור,גולן גליל
בני יהודה,גולן גליל
אלוני הבשן,גולן גליל
מיצר,גולן גליל
בני יהודה וגבעת יואב,גולן גליל
גבעת יואב,גולן גליל
אזור תעשייה בני יהודה,גולן גליל
גשור,גולן גליל
קלע,גולן גליל
קדמת צבי,גולן גליל
חד-נס,גולן גליל
כנף,גולן גליל
קצרין,גולן גליל
מרום גולן,גולן גליל
מג'דל שמס,גולן גליל
מסעדה,גולן גליל
נמרוד, גולן גליל
מבוא חמה,גולן גליל
אפיק,גולן גליל
חמת גדר,גולן גליל
"נווה אטי""ב",גולן גליל
נווה אטי''ב,גולן גליל
נוב,גולן גליל
ע'ג'ר,גולן גליל
עין קנייא,גולן גליל
עין זיוון,גולן גליל
נאות גולן,גולן גליל
רמת מגשימים,גולן גליל
רמות,גולן גליל
תל אביב -יפו,מרכז
תל אביב,מרכז
מצפה אבי''ב,עמקים
באקה אל-גרביה,מרכז
באקה אל גרבייה,מרכז
בני ברק,מרכז
בת ים,מרכז
גבעתיים,מרכז
הרצלייה,מרכז
הרצליה,מרכז
חדרה,מרכז
חולון,מרכז
קדש ברנע,נגב
טבריה,עמקים
קריית אתא,עמקים
כפר סבא,מרכז
לוד,השפלה וההר
אשקלון,נגב
אל מסק,מרכז
נס ציונה,השפלה וההר
עינבר,עמקים
נצרת,עמקים
מרכז חבר,עמקים
נתניה,מרכז
קדימה,מרכז
סח'נין,גולן גליל
סכנין, גולן גליל
נופי נחמיה,יהודה ושומרון
עכו,גולן גליל
אזור תעשייה מבואות הגלבוע,עמקים
עפולה,עמקים
נין,עמקים
פרדס חנה-כרכור,מרכז
ישובי יעל,עמקים
פתח תקווה,מרכז
ממשית,נגב
צפת,גולן גליל
בית יתיר,נגב
קריית מוצקין,עמקים
רטורנו,השפלה וההר
ראשון לציון,השפלה וההר
רחובות,השפלה וההר
רמלה,השפלה וההר
רמת גן,מרכז
רעננה,מרכז
שפרעם,עמקים
טמרה,גולן גליל
באר שבע,נגב
כרמית,נגב
נהרייה,גולן גליל
נהריה,גולן גליל
ינוח ג'ת,גולן גליל
בית שאן,עמקים
זכרון יעקב,מרכז
יהוד,מרכז
קריית ביאליק,עמקים
קריית ים,עמקים
איזור תעשייה מילואות צפון,עמקים
אזור תעשייה קריית ביאליק,עמקים
הוד השרון,מרכז
בנימינה-גבעת עדה,מרכז
פקיעין החדשה,גולן גליל
אזור תעשייה טמרה,עמקים
